Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Wholesale Furniture Brokers
nebula-25-wardrobe,Nebula 25“ Wardrobe - Available in 4 Colours,Colour,White,,,,,25871-17,,,0
nebula-65w-queen-murphy-bed-with-mattress,Nebula 65W Queen Murphy Wall Bed with Mattress - Available in 4 Colours,Colour,Antigua,,,,,25853-52,,,-50
nebula-65w-queen-murphy-bed-with-mattress,Nebula 65W Queen Murphy Wall Bed with Mattress - Available in 4 Colours,Colour,Bark Grey & White,,,,,25853-4717,,,-50
nebula-65w-queen-murphy-bed-with-mattress,Nebula 65W Queen Murphy Wall Bed with Mattress - Available in 4 Colours,Colour,Bark Grey,,,,,25853-47,,,-50
nebula-65w-queen-murphy-bed-with-mattress,Nebula 65W Queen Murphy Wall Bed with Mattress - Available in 4 Colours,Colour,White,,,,,25853-17,,,-50
nebula-59w-full-murphy-wall-bed-with-mattress,Nebula 59W Full Murphy Wall Bed with Mattress - Available in 4 Colours,Colour,Antigua,,,,,25851-52,,,-50
nebula-59w-full-murphy-wall-bed-with-mattress,Nebula 59W Full Murphy Wall Bed with Mattress - Available in 4 Colours,Colour,Bark Grey & White,,,,,25851-4717,,,-50
nebula-59w-full-murphy-wall-bed-with-mattress,Nebula 59W Full Murphy Wall Bed with Mattress - Available in 4 Colours,Colour,Bark Grey,,,,,25851-47,,,-50
nebula-59w-full-murphy-wall-bed-with-mattress,Nebula 59W Full Murphy Wall Bed with Mattress - Available in 4 Colours,Colour,White,,,,,25851-17,,,-50
i3-plus-low-storage-unit-white,i3 Plus Low Storage Unit - White,Colour,White,,,,,160634-1117,,,48
equinox-3-piece-set-including-1l-shaped-desk-and-2-storage-units-with-8-cubbies,Equinox 3-Piece Set Including 1 L-Shaped Desk and 2 Storage Units with 8 Cubbies - Available in 2 Colours,Colour,Antigua & White,,,,,115851-000052,,,0
equinox-3-piece-set-including-1l-shaped-desk-and-2-storage-units-with-8-cubbies,Equinox 3-Piece Set Including 1 L-Shaped Desk and 2 Storage Units with 8 Cubbies - Available in 2 Colours,Colour,Bark Grey & White,,,,,115851-000047,,,0
aquarius-3-piece-set-including-a-desk-with-single-pedestal-and-two-storage-units-with-8-cubbies,Aquarius 3-Piece Set Including a Desk with Single Pedestal and 2 Storage Units with 8 Cubbies - Available in 4 Colours,Colour,Antigua & White,,,,,114851-000052,,,0
aquarius-3-piece-set-including-a-desk-with-single-pedestal-and-two-storage-units-with-8-cubbies,Aquarius 3-Piece Set Including a Desk with Single Pedestal and 2 Storage Units with 8 Cubbies - Available in 4 Colours,Colour,Bark Grey & White,,,,,114851-000047,,,0
