Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Wholesale Furniture Brokers
walker-edison-rustic-metal-wrap-18-inch-round-side-table,Rustic Metal Wrap 18 inch Round Side Table - Available in 6 Colours,Colour,White Faux Marble/Gold,,,,,AF18MWSTMG,,,0
walker-edison-rustic-metal-wrap-18-inch-round-side-table,Rustic Metal Wrap 18 inch Round Side Table - Available in 6 Colours,Colour,Reclaimed Barnwood,,,,,AF18MWSTRO,,,15
walker-edison-rustic-metal-wrap-18-inch-round-side-table,Rustic Metal Wrap 18 inch Round Side Table - Available in 6 Colours,Colour,Slate Grey,,,,,AF18MWSTSG,,,14
walker-edison-rustic-metal-wrap-18-inch-round-side-table,Rustic Metal Wrap 18 inch Round Side Table - Available in 6 Colours,Colour,Dark Concrete,,,,,AF18MWSTDC,,,61
walker-edison-rustic-metal-wrap-18-inch-round-side-table,Rustic Metal Wrap 18 inch Round Side Table - Available in 6 Colours,Colour,Grey Wash,,,,,AF18MWSTGW,,,36
walker-edison-rustic-metal-wrap-18-inch-round-side-table,Rustic Metal Wrap 18 inch Round Side Table - Available in 6 Colours,Colour,Dark Walnut,,,,,AF18MWSTDW,,,83
walker-edison-18-inch-industrial-faux-leather-dining-chairs-set-of-2,"18"" Industrial Faux Leather Dining Chairs (Set of 2) - Available in 4 Colours",Colour,Grey,,,,,CHL18GY,,,0
walker-edison-18-inch-industrial-faux-leather-dining-chairs-set-of-2,"18"" Industrial Faux Leather Dining Chairs (Set of 2) - Available in 4 Colours",Colour,Brown,,,,,CHL18BR,,,0
walker-edison-18-inch-industrial-faux-leather-dining-chairs-set-of-2,"18"" Industrial Faux Leather Dining Chairs (Set of 2) - Available in 4 Colours",Colour,Navy Blue,,,,,CHL18BU,,,0
walker-edison-18-inch-industrial-faux-leather-dining-chairs-set-of-2,"18"" Industrial Faux Leather Dining Chairs (Set of 2) - Available in 4 Colours",Colour,Whiskey Brown,,,,,CHL18WB,,,49
walker-edison-30-inch-industrial-faux-leather-barstools-set-of-2,"30"" Industrial Faux Leather Barstools (Set of 2) - Available in 5 Colours",Colour,Grey,,,,,CHL30GY,,,0
walker-edison-30-inch-industrial-faux-leather-barstools-set-of-2,"30"" Industrial Faux Leather Barstools (Set of 2) - Available in 5 Colours",Colour,Brown,,,,,CHL30BR,,,34
walker-edison-30-inch-industrial-faux-leather-barstools-set-of-2,"30"" Industrial Faux Leather Barstools (Set of 2) - Available in 5 Colours",Colour,Navy Blue,,,,,CHL30BU,,,114
walker-edison-30-inch-industrial-faux-leather-barstools-set-of-2,"30"" Industrial Faux Leather Barstools (Set of 2) - Available in 5 Colours",Colour,Black,,,,,CHL30BL,,,49
walker-edison-30-inch-industrial-faux-leather-barstools-set-of-2,"30"" Industrial Faux Leather Barstools (Set of 2) - Available in 5 Colours",Colour,Whiskey Brown,,,,,CHL30WB,,,0
walker-edison-40-inch-rustic-metal-and-wood-hall-tree,"40"" Rustic Metal and Wood Hall Tree - Available in 6 Colours",Colour,Dark Walnut,,,,,HT72MWDW,,,15
walker-edison-40-inch-rustic-metal-and-wood-hall-tree,"40"" Rustic Metal and Wood Hall Tree - Available in 6 Colours",Colour,White Oak,,,,,HT72MWWO,,,0
walker-edison-40-inch-rustic-metal-and-wood-hall-tree,"40"" Rustic Metal and Wood Hall Tree - Available in 6 Colours",Colour,Rustic Oak,,,,,HT72MWRO,,,0
walker-edison-40-inch-rustic-metal-and-wood-hall-tree,"40"" Rustic Metal and Wood Hall Tree - Available in 6 Colours",Colour,Grey Wash,,,,,HT72MWGW,,,12
walker-edison-40-inch-rustic-metal-and-wood-hall-tree,"40"" Rustic Metal and Wood Hall Tree - Available in 6 Colours",Colour,Barnwood,,,,,HT72MWBW,,,87
walker-edison-40-inch-rustic-metal-and-wood-hall-tree,"40"" Rustic Metal and Wood Hall Tree - Available in 6 Colours",Colour,Driftwood,,,,,HT72MWAG,,,55
walker-edison-mariner-mid-century-modern-dual-oval-glass-coffee-table,Mariner Mid Century Modern Dual Oval Glass Coffee Table,Title,Default Title,,,,,C38B5,,,0
walker-edison-jackson-48-wood-corner-fireplace-tv-stand,"Jackson 48"" Wood Corner Fireplace TV Stand - Available in 7 Colours",Colour,Traditional Brown,,,,,W48FPCRTB,,,26
walker-edison-jackson-48-wood-corner-fireplace-tv-stand,"Jackson 48"" Wood Corner Fireplace TV Stand - Available in 7 Colours",Colour,Grey Wash,,,,,W48FPCRGW,,,12
walker-edison-jackson-48-wood-corner-fireplace-tv-stand,"Jackson 48"" Wood Corner Fireplace TV Stand - Available in 7 Colours",Colour,Black,,,,,W48FPCRBL,,,0
walker-edison-jackson-48-wood-corner-fireplace-tv-stand,"Jackson 48"" Wood Corner Fireplace TV Stand - Available in 7 Colours",Colour,Rustic Oak,,,,,W48FPCRRO,,,43
walker-edison-jackson-48-wood-corner-fireplace-tv-stand,"Jackson 48"" Wood Corner Fireplace TV Stand - Available in 7 Colours",Colour,Barnwood,,,,,W48FPCRBW,,,37
walker-edison-jackson-48-wood-corner-fireplace-tv-stand,"Jackson 48"" Wood Corner Fireplace TV Stand - Available in 7 Colours",Colour,White Oak,,,,,W48FPCRWO,,,30
walker-edison-jackson-48-wood-corner-fireplace-tv-stand,"Jackson 48"" Wood Corner Fireplace TV Stand - Available in 7 Colours",Colour,Espresso,,,,,W48FPCRES,,,24
walker-edison-68-urban-pipe-bookshelf,"68"" Urban Pipe Metal Bookshelf - Available in 4 Colours",Colour,Grey Wash,,,,,BS68UPGW,,,69
walker-edison-68-urban-pipe-bookshelf,"68"" Urban Pipe Metal Bookshelf - Available in 4 Colours",Colour,Driftwood,,,,,BS68UPAG,,,103
walker-edison-68-urban-pipe-bookshelf,"68"" Urban Pipe Metal Bookshelf - Available in 4 Colours",Colour,Dark Walnut,,,,,BS68UPDW,,,0
walker-edison-68-urban-pipe-bookshelf,"68"" Urban Pipe Metal Bookshelf - Available in 4 Colours",Colour,Barnwood,,,,,BS68UPBW,,,0
walker-edison-angle-iron-rustic-side-tables-set-of-2,Angle Iron Rustic Side Tables (Set of 2) - Available in 6 Colours,Colour,Slate Grey,,,,,C20AISTSG,,,42
walker-edison-angle-iron-rustic-side-tables-set-of-2,Angle Iron Rustic Side Tables (Set of 2) - Available in 6 Colours,Colour,Dark Walnut,,,,,C20AISTDW,,,36
walker-edison-angle-iron-rustic-side-tables-set-of-2,Angle Iron Rustic Side Tables (Set of 2) - Available in 6 Colours,Colour,Driftwood,,,,,C20AISTAG,,,0
walker-edison-angle-iron-rustic-side-tables-set-of-2,Angle Iron Rustic Side Tables (Set of 2) - Available in 6 Colours,Colour,Rustic Oak,,,,,C20AISTRO,,,18
walker-edison-angle-iron-rustic-side-tables-set-of-2,Angle Iron Rustic Side Tables (Set of 2) - Available in 6 Colours,Colour,Grey Wash,,,,,C20AISTGW,,,57
walker-edison-angle-iron-rustic-side-tables-set-of-2,Angle Iron Rustic Side Tables (Set of 2) - Available in 6 Colours,Colour,Barnwood,,,,,C20AISTBW,,,73
walker-edison-24-inch-industrial-faux-leather-counter-stools-set-of-2,"24"" Industrial Faux Leather Counter Stools (Set of 2) - Available in 5 Colours",Colour,Grey,,,,,CHL26GY,,,0
walker-edison-24-inch-industrial-faux-leather-counter-stools-set-of-2,"24"" Industrial Faux Leather Counter Stools (Set of 2) - Available in 5 Colours",Colour,Navy Blue,,,,,CHL26BU,,,0
walker-edison-24-inch-industrial-faux-leather-counter-stools-set-of-2,"24"" Industrial Faux Leather Counter Stools (Set of 2) - Available in 5 Colours",Colour,Whiskey Brown,,,,,CHL26WB,,,32
walker-edison-24-inch-industrial-faux-leather-counter-stools-set-of-2,"24"" Industrial Faux Leather Counter Stools (Set of 2) - Available in 5 Colours",Colour,Brown,,,,,CHL26BR,,,30
walker-edison-24-inch-industrial-faux-leather-counter-stools-set-of-2,"24"" Industrial Faux Leather Counter Stools (Set of 2) - Available in 5 Colours",Colour,Black,,,,,CHL26BL,,,1
